"gene","module"
"CLEC7A","turquoise"
"FGD2","turquoise"
"102723630","blue"
"TRBV10-2","blue"
"PABPC4","blue"
"XK","grey"
"BANK1","turquoise"
"SH3TC2","brown"
"FSTL3","turquoise"
"LOC102724363","blue"
"MCEMP1","turquoise"
"TRIM46","grey"
"DYSF","turquoise"
"PCDH10","turquoise"
"EPPK1","yellow"
"INSM1","pink"
"FRAS1","blue"
"SEC22B4P","red"
"CXCL11","blue"
"ZNF365","turquoise"
"CALB2","turquoise"
"APLNR","turquoise"
"FSIP2","salmon"
"TTYH3","brown"
"TRT-CGT4-1","black"
"SEMA4A","black"
"LINC02725","greenyellow"
"NAV3","turquoise"
"HSPH1","brown"
"FLT3","blue"
"E2F7","brown"
"TRBV11-2","blue"
"CBR1","yellow"
"AQP10","magenta"
"ADRA1A","green"
"HSPB8","green"
"LINC02041","brown"
"MGAT3","brown"
"HSPG2","turquoise"
"MUC12","brown"
"CASP1","brown"
"SLC12A2","yellow"
"GIPC2","blue"
"COXFA4","brown"
"SERPINB4","greenyellow"
"RPS16","red"
"PLCB2","turquoise"
"DSE","turquoise"
"RPS16P5","black"
"TRIM31-AS1","yellow"
"CLDN10-AS1","blue"
"NTS","turquoise"
"C2orf72","blue"
"HES6","salmon"
"GXYLT2","turquoise"
"INSR","blue"
"SCAMP5","blue"
"105379461","blue"
"ANO5","blue"
"FCRL1","turquoise"
"CMTM3","turquoise"
"SEMA3E","brown"
"SEC11C","blue"
"MMRN1","green"
"TRV-CAC1-5","black"
"H4C9","turquoise"
"CNTN3","blue"
"CPXM2","green"
"SERPINI1","blue"
"VWDE","grey"
"LUCAT1","black"
"CPA3","grey"
"ABCD2","turquoise"
"RELT","turquoise"
"F3","brown"
"TMEM265","brown"
"REEP6","magenta"
"LOC400499","black"
"MX1","turquoise"
"CLDN14-AS1","brown"
"RPL3L","blue"
"HTR1D","yellow"
"NRG3","turquoise"
"CLIC5","yellow"
"ENPP3","magenta"
"RETREG1","blue"
"TBC1D30","blue"
"ARHGDIB","turquoise"
"KCNK5","magenta"
"IGF1R","blue"
"SLC16A7","blue"
"LOC105378620","turquoise"
"EPHA4","brown"
"ESPL1","brown"
"ZPLD1","turquoise"
"IL18","brown"
"TTC6","brown"
"TNFSF10","brown"
"DOCK11","turquoise"
"FCRL5","purple"
"EFNA1","yellow"
"EPHA7","salmon"
"FEZF1-AS1","brown"
"TMEM125","blue"
"RPPH1","red"
"EGR2","turquoise"
"IRAK2","brown"
"POLQ","brown"
"SUGCT","turquoise"
"PLA2G4F","yellow"
"RASL12","turquoise"
"COL5A3","turquoise"
"SYNPO","green"
"COL6A1","turquoise"
"SULT2A1","magenta"
"JUND","black"
"RDX","blue"
"PARP2","red"
"FLVCR2","yellow"
"LINC01725","blue"
"LOC105374458","blue"
"LOC107984805","blue"
"SLC17A6","pink"
"107986367","blue"
"RNVU1-18","red"
"ECEL1","pink"
"PRDM16","blue"
"TMEM176B","brown"
"LILRB1","turquoise"
"CYP4F2","magenta"
"LOC107986924","black"
"GNB4","turquoise"
"CKS1B","brown"
"NEFL","salmon"
"LOC101927897","green"
"MS4A6A","turquoise"
"LIPE","green"
"PGK1","brown"
"BMP7","brown"
"UTS2","pink"
"CKLF-CMTM1","brown"
"CYBA","brown"
"IGLV1-51","purple"
"FGD5","turquoise"
"LINC02985","blue"
"SNORA104","brown"
"IER5L","turquoise"
"RHOXF1P1","blue"
"SERPING1","turquoise"
"HAPLN1","brown"
"KIAA1549","blue"
"TMEM191A","brown"
"ZNF483","tan"
"PARP15","turquoise"
"CA13","yellow"
"103344718","green"
"CALHM5","turquoise"
"GABRA2","salmon"
"LCK","brown"
"COCH-AS1","blue"
"CLDN15","magenta"
"CKAP2","brown"
"RCAN1","blue"
"FHIP1A","blue"
"ST8SIA4","turquoise"
"LOC105374034","salmon"
"RNASE4","red"
"LILRB4","turquoise"
"SLC7A7","brown"
"SETBP1","tan"
"PKDCC","turquoise"
"DOC2B","black"
"PFKFB3","turquoise"
"VSTM2L","turquoise"
"PLP1","tan"
"NWD1","pink"
"RRBP1","blue"
"DPP6","pink"
"TRAF1","turquoise"
"SNORA72","red"
"RGS4","turquoise"
"STOX2","blue"
"PPP2R2C","brown"
"LOC101928499","blue"
"SCARNA2","blue"
"MIR216B","blue"
"PAK5","blue"
"SLAMF9","yellow"
"CASP9","blue"
"LAMA2","turquoise"
"TRY-GTA5-1","black"
"RIMBP2","pink"
"FUT6","yellow"
"TMTC1","green"
"SPACA3","blue"
"GAS2","blue"
"TMEM171","brown"
"CD9","brown"
"PCSK5","yellow"
"RHBDL2","brown"
"PRKCB","turquoise"
"NCCRP1","blue"
"NLRP2","purple"
"TRBV10-1","blue"
"LINC02432","blue"
"TFCP2L1","grey"
"RHOBTB3","blue"
"NRG1","greenyellow"
"ACY3","magenta"
"ADRA2A","blue"
"EFHD1","green"
"TUBG2","blue"
"GNG2","turquoise"
"GLRA3","pink"
"IGHV1-46","purple"
"LOC105373530","blue"
"SOX11","turquoise"
"LINC02915","blue"
"INA","pink"
"CD79A","purple"
"SULT1A1","magenta"
"KCNJ6","pink"
"LOC105370972","blue"
"PRDM16-DT","blue"
"MZB1","purple"
"FAM133CP","blue"
"LOC107986178","yellow"
"JUN","blue"
"TMT1A","blue"
"GLT8D2","turquoise"
"EPCIP","blue"
"LOC107985034","brown"
"FBXL7","turquoise"
"KCNH8","grey"
"PDLIM4","turquoise"
"FPR1","turquoise"
"TTLL7","blue"
"LOC102723407","purple"
"107984312","black"
"MYRFL","magenta"
"ARPC5","brown"
"SNORA63D","red"
"NUAK1","turquoise"
"DTL","brown"
"IGHV4-4","purple"
"PWAR5","blue"
"ITGA4","turquoise"
"TRBC2","turquoise"
"CIITA","turquoise"
"LINC03040","brown"
"WDR38","red"
"KCNIP2","green"
"RMRP","red"
"MEG8","tan"
"CLIC1","brown"
"NPSR1-AS1","brown"
"LOC101927879","grey"
"GADD45B","black"
"LGALS3BP","brown"
"ECRG4","green"
"EEF1A2","grey"
"DUSP2","black"
"C3orf80","turquoise"
"TNFRSF6B","turquoise"
"RPS26","red"
"SCAND3","blue"
"LACTB2","brown"
"TMEM150B","yellow"
"HLA-DPB1","turquoise"
"WT1","turquoise"
"IGSF9","yellow"
"107984581","pink"
"SMAD9","salmon"
"TNFSF9","turquoise"
"HSPA7","turquoise"
"FGFR4","blue"
"DKK4","yellow"
"PAQR8","yellow"
"CD58","brown"
"ITPR3","yellow"
"GLI3","turquoise"
"CDKN2A","brown"
"LRRC37A4P","grey"
"AHR","brown"
"DGKI","turquoise"
"FKBP10","turquoise"
"SLA","turquoise"
"TMEM132C","blue"
"LOC102723331","turquoise"
"S100G","magenta"
"RASEF","red"
"NRG4","blue"
"OGDHL","blue"
"PGAM1P5","blue"
"SCARNA17","black"
"SASH3","turquoise"
"LCP2","turquoise"
"ACY1","yellow"
"SNORA38","red"
"POU6F2","blue"
"ITGA10","grey"
"TPPP3","turquoise"
"RUNX3-AS1","turquoise"
"CSRNP1","black"
"C2CD4A","red"
"ESM1","turquoise"
"FADS2","turquoise"
"LTBP2","turquoise"
"ABCA5","blue"
"MIR12136","magenta"
"ANKRD36BP2","purple"
"CD180","turquoise"
"ARHGAP27","yellow"
"VWA5B1","pink"
"KPNA2","brown"
"ATP7B","yellow"
"SGCA","black"
"ABCA10","blue"
"DACH1","salmon"
"LOC107985787","black"
"DRP2","turquoise"
"GZMA","brown"
"ADD2","blue"
"SMANTIS","blue"
"PPP1R1A","green"
"TRIM16","brown"
"SERPINB7","brown"
"CPA4","blue"
"SKAP2","brown"
"CLCF1","black"
"CCL13","turquoise"
"CXXC4","blue"
"GAREM1","blue"
"HPN-AS1","blue"
"GBP4","brown"
"COX7B","brown"
"CDCP1","brown"
"PDE4B","turquoise"
"ARHGAP20","turquoise"
"101060400","brown"
"HOOK1","blue"
"MT-CO2","cyan"
"TRBV6-4","blue"
"JCAD","blue"
"HPCAL4","blue"
"107984298","blue"
"PLTP","blue"
"LOC112268311","grey"
"KIFC1","brown"
"LOC107984079","tan"
"LYPLA1","brown"
"BCAM","tan"
"PRELID3B","brown"
"CD48","turquoise"
"KCNA5","green"
"ABRACL","brown"
"NMUR2","brown"
"DSC2","brown"
"GGT1","blue"
"TMEM141","brown"
"RNVU1-7","red"
"CCNB2","brown"
"NABP1","turquoise"
"RNU1-3","red"
"ZNF727","blue"
"DACT1","turquoise"
"LPCAT4","yellow"
"ASAH2","magenta"
"RMST","grey"
"WNT5A","brown"
"ERC2","blue"
"LDB3","green"
"HILPDA","brown"
"SLIT2","turquoise"
"MIAT","turquoise"
"VSTM4","turquoise"
"PGR","turquoise"
"ATP1B1","yellow"
"HLA-B","brown"
"TSHZ2","turquoise"
"OCLN","red"
"ETS2","turquoise"
"STAB1","turquoise"
"LOC101928543","yellow"
"FCGR3B","turquoise"
"FASN","green"
"PLBD1","brown"
"THEMIS2","turquoise"
"PPP4R4","greenyellow"
"SLC9A7P1","blue"
"MYO5C","blue"
"TNNT1","greenyellow"
"CD70","greenyellow"
"LOC107985909","black"
"TMC8","turquoise"
"ILDR2","turquoise"
"SLC27A2","yellow"
"TRIM55","black"
"TMEM130","green"
"ACE","magenta"
"MT-TS1","magenta"
"C8G","yellow"
"AXL","turquoise"
"ACTN1","turquoise"
"ANKRD1","turquoise"
"SLC45A3","yellow"
"CACNA1A","pink"
"GCSAM","blue"
"LOC105378726","turquoise"
"TMEM266","blue"
"KDM6B","black"
"112267916","salmon"
"LOC105374823","blue"
"TRBV5-3","blue"
"EDIL3-DT","turquoise"
"FAM153CP","blue"
"IGHV6-1","purple"
"SGPP2","yellow"
"RNU1-1","red"
"LMO7","yellow"
"PIP5KL1","black"
"TFEC","turquoise"
"DOCK10","turquoise"
"SLCO4A1-AS1","brown"
"MICOS10-NBL1","brown"
"BTBD19","black"
"HAND2-AS1","tan"
"BOC","tan"
"RPL22L1","red"
"STEAP4","tan"
"DDX60","brown"
"SIX1","brown"
"112268037","blue"
"LY96","turquoise"
"LOC105379524","red"
"OSBPL10","brown"
"COL25A1","magenta"
"FAM167A-AS1","blue"
"LOC105379025","pink"
"LOC105369474","blue"
"RNVU1-14","cyan"
"SCARNA9","red"
"SLC60A2-DT","blue"
"BLVRB","brown"
"PLA2G10","yellow"
"DSP","blue"
"105375153","turquoise"
"NCAM1","pink"
"105379383","blue"
"THBD","turquoise"
"SPACA6","black"
"LOC101448202","turquoise"
"SYNE1","tan"
"CCL4L2","black"
"AKR1B15","magenta"
"PCOLCE","turquoise"
"GAS2L3","brown"
"GHR","tan"
"ELF3","yellow"
"CDS1","yellow"
"HSPE1","brown"
"TRABD2B","green"
"EXTL1","blue"
"MX2","turquoise"
"MYB","brown"
"DNAJB5","black"
"MYO3B","blue"
"NDUFB1","red"
"PSMD6","blue"
"CD34","green"
"CD96","turquoise"
"LRRC19","yellow"
"CDCA5","brown"
"STXBP5L","pink"
"PLEKHO1","turquoise"
"MS4A4E","turquoise"
"PPBP","turquoise"
"SLC4A11","brown"
"VNN2","grey"
"QPCT","brown"
"IGFBP4","turquoise"
"SOX21-AS1","brown"
"KRT14","greenyellow"
"ADORA2B","brown"
"FBP1","magenta"
"MAP3K8","turquoise"
"EHD2","turquoise"
"TOX","salmon"
"MGST1","red"
"LINC00443","brown"
"EPS8L1","brown"
"OR4D5","blue"
"FAM221A","blue"
"NFATC2","green"
"DSG2-AS1","brown"
"IRAG2","blue"
"FAM180A","turquoise"
"KIF15","brown"
"RPS14","red"
"107985208","yellow"
"SNORD17","red"
"LOC112268081","blue"
"PRSS22","brown"
"ABCC3","grey"
"MYO3A","pink"
"LINC01237","blue"
"SOSTDC1","brown"
"MCAM","green"
"PARM1","blue"
"ABCA6","tan"
"TTYH1","blue"
"LDLR","grey"
"TSPOAP1","blue"
"APOH","blue"
"SCARNA21","red"
"DUSP1","black"
"SMPDL3B","blue"
"NR3C2","blue"
"PARPBP","brown"
"TMEM26","turquoise"
"SERPINB13","greenyellow"
"MIR198","turquoise"
"LHFPL3","blue"
"JAK3","turquoise"
"MAGI2-AS3","turquoise"
"RNA5S9","red"
"IL18R1","turquoise"
"ABCG2","magenta"
"NPR1","green"
"PNMA2","turquoise"
"GRASLND","blue"
"PLA2G12B","magenta"
"KIAA1755","turquoise"
"GRIN2D","brown"
"COX6B2","turquoise"
"VSIG4","turquoise"
"CHD9NB","blue"
"ENTREP2","blue"
"PIK3CG","turquoise"
"CXCL1","turquoise"
"112268426","turquoise"
"BCAT1-AS1","blue"
"WDR17","blue"
"AGMAT","yellow"
"RCAN2","green"
"ELOVL6","brown"
"SNAI1","turquoise"
"PMEPA1","turquoise"
"COTL1","brown"
"MIR3667HG","green"
"LINC02958","black"
"C16orf54","turquoise"
"CH25H","turquoise"
"BAAT","grey"
"ANXA4","grey"
"CD209","turquoise"
"FDCSP","greenyellow"
"HLF","tan"
"GJA5","turquoise"
"PPP1R16B","turquoise"
"PIM1","turquoise"
"THRSP","green"
"FAM30A","turquoise"
"KCNMB2","pink"
"TXNRD1","brown"
"TNFAIP3","turquoise"
"CSF3","black"
"IKZF3","turquoise"
"SYNDIG1","turquoise"
"CD69","turquoise"
"GALNT8","salmon"
"107986589","turquoise"
"RGCC","black"
"KIF5C","pink"
"PACRG","blue"
"GCLM","brown"
"VWF","turquoise"
"CLVS1","brown"
"ISM1","turquoise"
"DGKH","brown"
"CSF2RA","turquoise"
"HSPB1","turquoise"
"TSPAN13","yellow"
"SAMD9L","brown"
"CACNA1D","pink"
"GPR65","turquoise"
"CDH26","greenyellow"
"LCT-AS1","magenta"
"SEMA3D","turquoise"
"MT-TQ","grey"
"SIGLEC10","turquoise"
"LINC03117","blue"
"SERPINB9","turquoise"
"IRF1","yellow"
"TOR4A","yellow"
"TNFAIP8L3","turquoise"
"112268296","brown"
"LOC101927283","turquoise"
"P4HA1","brown"
"RSPO3","green"
"SCUBE2","tan"
"SULT1C3","yellow"
"MLLT11","turquoise"
"LOC101928214","turquoise"
"TMEM132A","turquoise"
"CA8","salmon"
"ADCY4","turquoise"
"ELFN2","turquoise"
"TMEM37","magenta"
"PALM3","blue"
"RGS11","blue"
"NFATC1","green"
"105379170","turquoise"
"SELL","turquoise"
"TEX15","brown"
"CPA6","grey"
"SH2D2A","turquoise"
"MCM10","brown"
"107986483","brown"
"FRMD5","brown"
"KCNC4","blue"
"IL7","brown"
"PRICKLE1","turquoise"
"GSTM1","blue"
"MACC1","brown"
"FOLR2","turquoise"
"TMEM72","blue"
"S100B","green"
"TAP1","brown"
"BTNL9","blue"
"HAND2","green"
"SHISA2","turquoise"
"RPLP0P2","turquoise"
"MRPL13","brown"
"TIMP2","turquoise"
"SLC5A9","magenta"
"KIF26A","blue"
"CHRM3-AS2","blue"
"ORC6","brown"
"H2BC26","brown"
"ZNF503","blue"
"PAPPA","turquoise"
"LOC105375170","brown"
"CHN2","blue"
"MKNK1-AS1","blue"
"CYCS","brown"
"VAV3","blue"
"MTRNR2L9","pink"
"HS3ST2","turquoise"
"LOC105370364","brown"
"HDAC9","turquoise"
"RUNX1T1","turquoise"
"P2RY10","turquoise"
"SLC28A1","magenta"
"CENPW","brown"
"TRIM54","brown"
"SLC29A4","pink"
"ADAM22","turquoise"
"IFI27L2","brown"
"RGS10","turquoise"
"PLAC4","grey"
"PALM2AKAP2","turquoise"
"CHAD","blue"
"TMEM45A","turquoise"
"TRPS1","turquoise"
"HSD11B2","yellow"
"AIF1","turquoise"
"MFAP2","turquoise"
"HTR1B","brown"
"PMP22","turquoise"
"LOC105377781","blue"
"ST6GAL1","turquoise"
"FXYD1","green"
"ADAMTS7","turquoise"
"TPM4","turquoise"
"ZAP70","turquoise"
"NAT8L","blue"
"RAB17","blue"
"PSMD6-AS2","blue"
"EEF2","blue"
"FIGN","blue"
"MTRNR2L6","blue"
"TRBC1","turquoise"
"TNXA","green"
"CD38","turquoise"
"SPRY4","turquoise"
"ANXA2","brown"
"NCAPG","brown"
"CHRNA5","brown"
"ARHGAP4","turquoise"
"ORM2","black"
"CRNDE","brown"
"ELOVL2","blue"
"TRIM36","yellow"
"CIDEA","green"
"MHRT","blue"
"KIF23","brown"
"SYCP2","blue"
"SNORA75","red"
"DPY19L1","brown"
"DNAH7","blue"
"RIPOR3","black"
"GINS1","brown"
"STC1","turquoise"
"GFI1","blue"
"ADAMTS10","green"
"ZBP1","brown"
"JPH1","blue"
"PSAPL1","brown"
"LOC105379169","blue"
"SCARNA1","red"
"KCNMB1","turquoise"
"GVQW3","blue"
"FGF1","turquoise"
"RAB26","blue"
"CITED4","blue"
"COL4A3","blue"
"MAOB","magenta"
"SNRPG","brown"
"LOC105369812","turquoise"
"P3H2","turquoise"
"PLEC","turquoise"
"TSPAN15","yellow"
"PHF24","black"
"TBL1Y","grey"
"C2","brown"
"LOC105372887","blue"
"SLCO4A1-AS2","brown"
"MYL12B","brown"
"ENKD1","blue"
"COX7A2","brown"
"IL13RA2","greenyellow"
"IGFBP7","turquoise"
"DYNLT4","black"
"TP53INP1","blue"
"DUSP5","black"
"MYEF2","blue"
"ZFAND2A","brown"
"LOC107984448","blue"
"ECM2","turquoise"
"HLA-DRB6","turquoise"
"LOC105369842","blue"
"LOC105369688","blue"
"FOXA2","blue"
"ARPC1B","brown"
"FLRT3","brown"
"LOC105374986","yellow"
"RP1","turquoise"
"LGR6","turquoise"
"FAM111B","brown"
"RPL27","red"
"SNORA18","red"
"STK33","blue"
"LOC112268267","brown"
"SNORA74B","red"
"GBP3","brown"
"SNORA22","red"
"CELF2","turquoise"
"EHD1","turquoise"
"RNVU1-19","black"
"MIR936","brown"
"COL9A2","turquoise"
"BEGAIN","blue"
"KBTBD12","red"
"TSC22D3","turquoise"
"MIR10396B","grey"
"SGSM1","blue"
"HRH2","turquoise"
"KIF2C","brown"
"HYAL1","grey"
"112267875","pink"
"MROH6","brown"
"IGKV1-16","purple"
"LAMC3","blue"
"ASF1B","brown"
"SLC37A4","blue"
"ADARB1","green"
"CRLF1","green"
"ECHDC2","blue"
"CCN2","turquoise"
"CREB5","green"
"SECTM1","magenta"
"ACTB","turquoise"
"SELPLG","turquoise"
"CMTM8","blue"
"IFITM2","turquoise"
"C1GALT1","brown"
"LOC105374127","grey"
"CCL3","black"
"LOC105376095","salmon"
"PON3","blue"
"SHISAL1","turquoise"
"TRIM40","magenta"
"E2F8","brown"
"MAFF","black"
"ASB2","turquoise"
"HCK","turquoise"
"LGR4","blue"
"SLC39A14","blue"
"107986513","grey"
"GPR160","yellow"
"TRAC","turquoise"
"105377806","purple"
"PIEZO1","turquoise"
"MNDA","turquoise"
"NRXN2","green"
"LOC105375490","blue"
"DIPK2B","green"
"TNFRSF1B","turquoise"
"AKNA","turquoise"
"L3MBTL4","blue"
"SBSPON","salmon"
"SSC5D","turquoise"
"NME7","yellow"
"GK","yellow"
"ITIH5","green"
"BAG3","black"
"RAPGEFL1","brown"
"ATP8A1","blue"
"KIAA1549L","turquoise"
"PBX1","blue"
"SHANK2","blue"
"LPA","blue"
"ACSS1","blue"
"MS4A4A","turquoise"
"COL11A2","black"
"SMIM32","yellow"
"XKR4","blue"
"IFITM3","turquoise"
"PLCXD1","yellow"
"SNORA32","red"
"GLRB","blue"
"AGTR1","tan"
"TOB1","blue"
"ROMO1","red"
"RN7SK","red"
"HK1","turquoise"
"OR52N2","green"
"BAIAP3","pink"
"LOC105375172","grey"
"SLC22A31","blue"
"SGK2","blue"
"UCA1","greenyellow"
"COBL","blue"
"RAP1GAP2","blue"
"FCMR","turquoise"
"MIRLET7BHG","blue"
"LOC101927723","turquoise"
"ACSM1","blue"
"AURKB","brown"
"DLG2","tan"
"MZT1","brown"
"RAB42","turquoise"
"CDO1","tan"
"FOXJ1","greenyellow"
"LOC105375716","pink"
"ADAMTS9-AS1","green"
"ETV1","turquoise"
"LOC105370910","brown"
"FEZ1","turquoise"
"NECTIN1","greenyellow"
"GNAO1","pink"
"TGFB2","turquoise"
"ACSS3","tan"
"NPTX2","blue"
"MICB","brown"
"ACTR3C","blue"
"GHRL","blue"
"DNAH12","blue"
"SNORA28","red"
"CIROZ","pink"
"AIF1L","green"
"SEPTIN9","turquoise"
"PLEKHB1","grey"
"SLC35F2","greenyellow"
"LSP1","turquoise"
"OR10S1","blue"
"FGFRL1","blue"
"HMGA2-AS1","grey"
"107984747","turquoise"
"TGILR","grey"
"GPR174","turquoise"
"NELL2","magenta"
"MIR99AHG","turquoise"
"H2AC8","purple"
"NOP53","blue"
"H2AC7","brown"
"LINC02967","blue"
"TSPAN2","turquoise"
"PDGFDDN","blue"
"ARHGAP11A-SCG5","pink"
"PLOD2","turquoise"
"CCDC102B","turquoise"
"ULBP2","greenyellow"
"CYTH4","turquoise"
"NOD2","turquoise"
"GRAMD1C","blue"
"CDHR3","yellow"
"RGS6","green"
"PIEZO2","turquoise"
"FAM153A","blue"
"BCL11A","blue"
"SLC67A1","yellow"
"ASTN2","blue"
"LOC105378571","yellow"
"LOC102723654","blue"
"EPHA3","turquoise"
"INPP5D","turquoise"
"SNED1","green"
"GSTO1","brown"
"PRLHR","blue"
"107984428","tan"
"CD22","turquoise"
"TPSB2","purple"
"LOC112268288","blue"
"NYAP2","pink"
"ST18","pink"
"IER3","black"
"KCND3","green"
"H3C7","brown"
"SCNN1A","brown"
"PTPRZ1","grey"
"ANXA3","brown"
"IGHV3-64D","purple"
"EPB41L3","turquoise"
"CASC15","turquoise"
"SRPX","tan"
"CAMSAP3","blue"
"ZEB1","turquoise"
"HYDIN","blue"
"C14orf180","green"
"NLRP6","magenta"
"STON1","turquoise"
"GASK1A","green"
"SNORD118","red"
"LINC02984","turquoise"
"CDKN1A","black"
"ARHGEF26","blue"
"IL17REL","yellow"
"C3AR1","turquoise"
"IL21R","turquoise"
"DNMT3B","blue"
"LOC100505502","turquoise"
"ROBO1","turquoise"
"SLC16A12-AS1","blue"
"TUSC3","blue"
"SKA3","brown"
"ANKRD20A8P","blue"
"GJB5","greenyellow"
"EXOC3L4","yellow"
"CCR1","turquoise"
"AOAH","turquoise"
"LOC105370222","blue"
"CDCA8","brown"
"DMPK","blue"
"TRY-GTA2-1","black"
"UST","blue"
"SDK1-AS1","blue"
"DHDH","magenta"
"LGALS12","green"
"LOC105373485","blue"
"COMTD1","blue"
"GCNT4","blue"
"MICAL2","turquoise"
"ACSL6","salmon"
"RAB25","yellow"
"IGFL2-AS1","greenyellow"
"LOC105376373","brown"
"LINC00641","black"
"HOXA3","brown"
"NUAK2","blue"
"TRIP13","brown"
"IGKV2-24","purple"
"AMN","magenta"
"FLT4","turquoise"
"RTN1","pink"
"CORO1C","turquoise"
"HSD17B6","turquoise"
"LZTS1","turquoise"
"ABCG1","brown"
"DAAM2","tan"
"FCGR1A","turquoise"
"PTP4A3","tan"
"MYC","blue"
"PYCARD","brown"
"PODXL","blue"
"SNAP91","pink"
"CMPK2","brown"
"NES","turquoise"
"TEX56P","blue"
"NHS","turquoise"
"RTL1","tan"
"VCAN-AS1","turquoise"
"SLC7A14","pink"
"SPIRE2","yellow"
"STARD10","yellow"
"MOCS1","tan"
"OXTR","turquoise"
"SLC25A22","blue"
"PRNP","turquoise"
"COLEC11","blue"
"PYGL","turquoise"
"ENAM","blue"
"TRBV7-3","blue"
"IGHV2-5","purple"
"RHOH","turquoise"
"SAPCD2","brown"
"TLCD2","turquoise"
"LOC105372323","blue"
"GLIPR2","turquoise"
"TMPRSS3","yellow"
"H2BC5","brown"
"IGLV8-61","purple"
"SLC22A17","pink"
"TMEM253","magenta"
"H2AC21","brown"
"RAB7B","turquoise"
"ADGRD1","tan"
"IGHV4-55","purple"
"TIFA","blue"
"SP140","turquoise"
"NALCN","tan"
"WIPF1","turquoise"
"KCNMA1","pink"
"TEX47","blue"
"ITGAL","turquoise"
"LAIR1","turquoise"
"NLGN4X","turquoise"
"BCO1","yellow"
"LINC00668","red"
"PTPN20","blue"
"XRCC4","yellow"
"WDR91","blue"
"ITPRID2","blue"
"CHD5","green"
"LOC105376939","greenyellow"
"IL6-AS1","black"
"NLRP3","black"
"SLC51B","magenta"
"CYP27C1","turquoise"
"H2BC8","purple"
"LOC107986813","turquoise"
"LINC01806","blue"
"UNC13A","pink"
"CYP4B1","green"
"MYADM","turquoise"
"RUNX1-IT1","turquoise"
"GAS5-AS1","red"
"PCK2","magenta"
"CHST3","turquoise"
"ATP8B2","turquoise"
"PLXNC1","turquoise"
"LILRB5","turquoise"
"GLS2","blue"
"H2BC18","brown"
"THSD4","turquoise"
"ITK","turquoise"
"LINC02535","yellow"
"SNORA14B","red"
"CDKN2B-AS1","brown"
"LOC107985317","blue"
"CYB5A","blue"
"NREP","turquoise"
"ITIH3","turquoise"
"SIGLEC14","turquoise"
"MTUS1-DT","blue"
"PALMD","green"
"RPS15A","red"
"SNX10","turquoise"
"SPAG5","brown"
"LOC102723862","blue"
"CLEC12A","turquoise"
"TNNT2","black"
"LOC105372246","yellow"
"ABHD14A-ACY1","yellow"
"EDAR","brown"
"UNC5B","turquoise"
"IGLV3-1","purple"
"PHLDB1","green"
"DGAT1","magenta"
"107986874","blue"
"LOC105372898","black"
"CLDN12","brown"
"PWRN1","blue"
"MLN","magenta"
"SOX2","greenyellow"
"CCL3L3","black"
"KNDC1","pink"
"RFK","brown"
"GPRC5C","blue"
"EPHA6","tan"
"CLIP4","turquoise"
"SLC6A17","pink"
"FYB2","blue"
"CIT","brown"
"LOC112268133","green"
"ADAMTSL4-AS2","black"
"ADGRG4","magenta"
"LOC107986454","turquoise"
"IGKV2-30","purple"
"PNMA8A","pink"
"LETM2","black"
"PIM2","purple"
"BBIP1","blue"
"ZDHHC11","grey"
"MLYCD","blue"
"PKP3","brown"
"SEMA6A","blue"
"CD6","turquoise"
"CHMP1B2P","blue"
"GPR176","turquoise"
"SLC14A1","grey"
"PCMTD1-DT","blue"
"ARHGAP42","brown"
"TJP3","yellow"
"AIM2","turquoise"
"TM7SF2","blue"
"EIF4EBP1","blue"
"DIRAS3","blue"
"WFDC1","green"
"LINC00907","pink"
"KCNC2","pink"
"TTLL6","blue"
"TRBV8-2","blue"
"TICRR","brown"
"SEMA3B","yellow"
"EVPL","brown"
"LOC107985027","blue"
"C11orf91","black"
"C1QTNF3","turquoise"
"CD93","green"
"PKD1L2","brown"
"MYH14","yellow"
"MAPK8IP1P2","grey"
"GPX1","brown"
"TNFRSF21","brown"
"IL10RA","turquoise"
"STING1","turquoise"
"NFAM1","turquoise"
"ADAMTS5","turquoise"
"CTSB","turquoise"
"ZNF662","blue"
"LCIIAR","blue"
"TAMALIN","green"
"LOC101927536","black"
"CD300LF","turquoise"
"TNFRSF12A","brown"
"105376707","blue"
"NID1","turquoise"
"BMP4","brown"
"CLIC6","turquoise"
"ADAMTS9-AS2","tan"
"SNORA13","red"
"IL16","turquoise"
"PGM5","green"
"OSMR","turquoise"
"ELAVL4","pink"
"CD4","turquoise"
"OR10G6","blue"
"CASC8","brown"
"IGLV2-18","purple"
"ERG","green"
"CMYA5","turquoise"
"SLC52A1","magenta"
"TWSG1","turquoise"
"SELENBP1","yellow"
"SNX32","brown"
"ROR2","turquoise"
"CD80","turquoise"
"GRIA4","blue"
"SLC16A6","turquoise"
"RAI14","turquoise"
"KIF18B","brown"
"H4C4","brown"
"CCR6","brown"
"MLXIPL","blue"
"TRBV5-2","blue"
"ZNF33B","blue"
"EYA4","turquoise"
"PTMS","turquoise"
"PGF","turquoise"
"ART3","blue"
"KSR2","blue"
"TYROBP","turquoise"
"DDX3ILA1","brown"
"TLR10","turquoise"
"CDC25B","brown"
"ITPRIP","turquoise"
"RASGRF2","turquoise"
"PHLDA3","turquoise"
"CELSR3","brown"
"SYT12","turquoise"
"PEG3","tan"
"CYP2J2","yellow"
"PRSS23","turquoise"
